Method,Iteration,R2 Score,Best Fitness,Elapsed Time
prediction_BACKPROPAGATION_min,1,0.6734780914303291,0.09808374848007095,51.968491970998
prediction_BACKPROPAGATION_min,2,0.6662344381003493,0.09919590882244099,47.205117973004235
prediction_BACKPROPAGATION_min,3,0.6561476442016908,0.09929608897566919,47.58809689802001
prediction_BACKPROPAGATION_min,4,0.6775843862428144,0.0982572998607285,47.37892621700303
prediction_BACKPROPAGATION_min,5,0.6758433107297126,0.09912352918967218,47.47076866799034
prediction_BACKPROPAGATION_min,6,0.6446715371240476,0.10078899975434948,48.204667112993775
prediction_BACKPROPAGATION_min,7,0.6638938323543498,0.09977210159858454,48.01090081100119
prediction_BACKPROPAGATION_min,8,0.6726559583608519,0.09866616745293248,47.61639947499498
prediction_BACKPROPAGATION_min,9,0.6660633767652566,0.10010384302661217,47.487080546008656
prediction_BACKPROPAGATION_min,10,0.6358567872444199,0.10166304314542095,48.08533241899568
prediction_BACKPROPAGATION_max,1,0.5754924889850188,0.1134850935249898,46.99849747499684
prediction_BACKPROPAGATION_max,2,0.5864901370877899,0.11259714353308221,52.294310248980764
prediction_BACKPROPAGATION_max,3,0.5957661039623309,0.11177238340443037,47.89548309802194
prediction_BACKPROPAGATION_max,4,0.5897576362263703,0.11258027704583287,48.12449033401208
prediction_BACKPROPAGATION_max,5,0.570497266814096,0.11540717820261831,48.46676363199367
prediction_BACKPROPAGATION_max,6,0.5884675454079737,0.11310651392453398,48.47174348801491
prediction_BACKPROPAGATION_max,7,0.5943579364395607,0.11215589723425765,47.18122775899246
prediction_BACKPROPAGATION_max,8,0.5874996827761609,0.11240312804225952,48.00698295401526
prediction_BACKPROPAGATION_max,9,0.5872822846654551,0.11372100932839502,47.3877543710114
prediction_BACKPROPAGATION_max,10,0.5675931336553859,0.11443605129097714,47.80825503601227
prediction_GA_min,1,0.6760899841014614,0.09746180474758148,238.76951457600808
prediction_GA_min,2,0.6872448640512154,0.09674949944019318,239.23244286800036
prediction_GA_min,3,0.6814297181509652,0.09710721671581268,239.82861053399392
prediction_GA_min,4,0.6784721514233104,0.09737434983253479,239.57314751599915
prediction_GA_min,5,0.6760524266204816,0.09770658612251282,238.77514887799043
