,Method,Iteration,Best Solution,Best Fitness
0,GA,1,"[0.015887578281581938, 0.05794097880849784, 0.27412622106197515, 0.411466446263279]",0.040000000000000036
1,GA,2,"[0.005124504703712313, 0.06151632444004431, 0.268113402981097, 0.39289741522265215]",0.046666666666666634
2,GA,3,"[0.025437608018565316, 0.20695928952980536, 0.311975725646777, 0.3812367559153559]",0.053333333333333344
3,GA,4,"[0.08216342317856731, 0.15396913426405034, 0.2386663819213917, 0.4075846071268144]",0.053333333333333344
4,GA,5,"[0.004861506688919132, 0.04780203274089595, 0.13039665587559435, 0.40446296541132165]",0.040000000000000036
5,GA,6,"[0.004167830990628993, 0.1712891450081011, 0.26198204967421435, 0.4046810029501444]",0.040000000000000036
6,GA,7,"[0.0017662484178046847, 0.11598054141078105, 0.2907548065756501, 0.39723662456429615]",0.046666666666666634
7,GA,8,"[0.032201150512261995, 0.2101406149436177, 0.29361199362330453, 0.38855777890890114]",0.053333333333333344
8,GA,9,"[0.0015048049669981745, 0.07718468681908433, 0.16525612788957283, 0.4132115769539225]",0.040000000000000036
9,GA,10,"[0.003350568990974856, 0.07326101027887429, 0.18323641796071577, 0.40795385221629765]",0.040000000000000036
10,GA,11,"[0.0014767639023133272, 0.08678745136745973, 0.19391491287637327, 0.4061513748543703]",0.040000000000000036
11,GA,12,"[0.005340959369020223, 0.20475017324335965, 0.3172142416488945, 0.40608146678400836]",0.046666666666666634
12,GA,13,"[0.03031426994030898, 0.20183853133275237, 0.28846434138622334, 0.41381726849053085]",0.046666666666666634
13,GA,14,"[0.011519780606470464, 0.04736597348804015, 0.12460934328797042, 0.41038034544919794]",0.040000000000000036
14,GA,15,"[0.003993229706217266, 0.2229143729907195, 0.28721756673368354, 0.398007100691903]",0.046666666666666634
15,GA,16,"[0.008629066043842504, 0.05617533720346375, 0.1655102002846027, 0.4101658979900357]",0.040000000000000036
16,GA,17,"[0.010343994347463067, 0.16060077448291693, 0.28639932925934797, 0.40621689811956063]",0.040000000000000036
17,GA,18,"[0.003500713240580114, 0.18461941788371158, 0.2535631444615908, 0.41152981063652894]",0.040000000000000036
18,GA,19,"[0.006058051321159247, 0.07854759522655852, 0.2747928145046097, 0.4071697861752527]",0.040000000000000036
19,GA,20,"[0.005476264935404304, 0.15809216007095736, 0.2835484646015631, 0.4074039501593901]",0.040000000000000036
20,PSO,1,"[0.011849207397234413, 0.2274373852041361, 0.2680625000441499, 0.4072473243250035]",0.040000000000000036
21,PSO,2,"[0.015130194365788358, 0.22848914651749302, 0.29180724176516404, 0.4123849309234255]",0.040000000000000036
22,PSO,3,"[0.001703878091439598, 0.011381428371480928, 0.19165228212415297, 0.40796728598066934]",0.040000000000000036
23,PSO,4,"[0.005163538582428634, 0.04072361262524713, 0.2930943765639267, 0.40541432540606154]",0.040000000000000036
24,PSO,5,"[0.0102161536427912, 0.11079516236301194, 0.24665587194525151, 0.41498107247940824]",0.040000000000000036
25,PSO,6,"[0.011560292007708632, 0.026807641787249578, 0.08663859916444146, 0.41001339607512916]",0.040000000000000036
26,PSO,7,"[0.01755872434564444, 0.09869832956403049, 0.28078631565383816, 0.4107989773558477]",0.040000000000000036
27,PSO,8,"[0.008729745170759202, 0.024666691099254467, 0.24144591455917958, 0.41457255628978573]",0.040000000000000036
28,PSO,9,"[0.018507813792850242, 0.27320947361375114, 0.2734766173714528, 0.41219408861883894]",0.040000000000000036
29,PSO,10,"[0.007006543356906389, 0.13282436666902026, 0.24396144573952064, 0.41229017777617194]",0.040000000000000036
30,PSO,11,"[0.007772196397824384, 0.11482436415466957, 0.264401086498702, 0.4093591179746498]",0.040000000000000036
31,PSO,12,"[0.0006586806464945506, 0.12284737926531919, 0.20823691272647143, 0.4007787885572595]",0.040000000000000036
32,PSO,13,"[0.002533164163573081, 0.020484334883621756, 0.12456666563556583, 0.41479785449882317]",0.040000000000000036
33,PSO,14,"[0.0092633661735127, 0.1820324292361037, 0.2809604920897525, 0.4079730384000931]",0.040000000000000036
34,PSO,15,"[0.02164872067521446, 0.17206394495696192, 0.2186658569597563, 0.41482665465344665]",0.040000000000000036
35,PSO,16,"[0.01669412969113923, 0.13343940556838127, 0.27240094365066325, 0.4135931359643544]",0.040000000000000036
36,PSO,17,"[0.004518521147151636, 0.2395170255861248, 0.26001045825424046, 0.4113224081914763]",0.040000000000000036
37,PSO,18,"[0.0025971667250819495, 0.019327541063234727, 0.17987498724926432, 0.4165213157648284]",0.040000000000000036
38,PSO,19,"[0.01585549480185161, 0.2568376430469011, 0.2887100161508794, 0.4141195682491706]",0.040000000000000036
39,PSO,20,"[0.010345558898249963, 0.09808992041879054, 0.22688004838353035, 0.4098898787618458]",0.040000000000000036
